@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute xPos numeric
@attribute yPos numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute elapsedTime numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
211,'2019/05/04 16:55:39:970',106,261,204,18,-3.530091,17.650454,2.6,0,2678,0,0
212,'2019/05/04 16:55:39:971',106,261,204,18,-3.530091,17.650454,2.6,0,2678,0,0
213,'2019/05/04 16:55:39:987',107,255,229,31,-7.234561,30.144005,2.166667,0,2695,0,0
214,'2019/05/04 16:55:39:988',107,255,229,31,-7.234561,30.144005,2.166667,0,2695,0,0
215,'2019/05/04 16:55:40:003',108,253,244,17,-2.246783,16.850874,2,0,2712,0,0
216,'2019/05/04 16:55:40:004',108,253,244,17,-2.246783,16.850874,2,0,2712,0,0
217,'2019/05/04 16:55:40:021',109,252,273,30,-1.033868,29.98218,2.166667,0,2729,0,0
218,'2019/05/04 16:55:40:021',109,252,273,30,-1.033868,29.98218,2.166667,0,2729,0,0
219,'2019/05/04 16:55:40:037',110,252,273,0,0,0,5,0,2745,0,0
220,'2019/05/04 16:55:40:038',110,252,273,0,0,0,5,0,2745,0,0
221,'2019/05/04 16:55:40:055',111,254,284,13,2.325511,12.790309,2.166667,0,2763,0,0
222,'2019/05/04 16:55:40:056',111,254,284,13,2.325511,12.790309,2.166667,0,2763,0,0
223,'2019/05/04 16:55:40:070',112,254,284,0,0,0,1.3,0,2778,0,0
224,'2019/05/04 16:55:40:070',112,254,284,0,0,0,1.3,0,2778,0,0
225,'2019/05/04 16:55:40:089',113,254,284,0,0,0,0,0,2797,0,0
226,'2019/05/04 16:55:40:090',113,254,284,0,0,0,0,0,2797,0,0
227,'2019/05/04 16:55:40:105',114,254,284,0,0,0,0,0,2813,0,0
228,'2019/05/04 16:55:40:106',114,254,284,0,0,0,0,0,2813,0,0
229,'2019/05/04 16:55:41:609',115,112,176,0,0,0,0,0,693,0.04,0.04
230,'2019/05/04 16:55:41:610',115,112,176,0,0,0,0,0,693,0.04,0.04
231,'2019/05/04 16:55:41:625',116,113,176,1,1,0,0,0,709,0.04,0.04
232,'2019/05/04 16:55:41:626',116,113,176,1,1,0,0,0,709,0.04,0.04
233,'2019/05/04 16:55:41:650',117,122,177,10,9.938837,1.104315,9,0,728,0.04,0.04
234,'2019/05/04 16:55:41:651',117,122,177,10,9.938837,1.104315,9,0,728,0.04,0.04
235,'2019/05/04 16:55:41:662',118,132,177,10,10,0,0,0,746,0.04,0.04
236,'2019/05/04 16:55:41:663',118,132,177,10,10,0,0,0,746,0.04,0.04
237,'2019/05/04 16:55:41:678',119,160,178,29,28.981524,1.035054,0,0,763,0.04,0.04
238,'2019/05/04 16:55:41:679',119,160,178,29,28.981524,1.035054,0,0,763,0.04,0.04
239,'2019/05/04 16:55:41:696',120,185,178,25,25,0,0,0,781,0.04,0.04
240,'2019/05/04 16:55:41:697',120,185,178,25,25,0,0,0,781,0.04,0.04
241,'2019/05/04 16:55:41:712',121,257,177,73,72.992958,-1.013791,0,0,797,0.04,0.04
242,'0246/05/04 16:55:41:712',121,257,177,73,72.992958,-1.013791,0,0,797,0.04,0.04
243,'2019/05/04 16:55:41:729',122,298,174,44,43.882687,-3.210928,0,0,813,0.04,0.04
244,'2019/05/04 16:55:41:730',122,298,174,44,43.882687,-3.210928,0,0,813,0.04,0.04
245,'2019/05/04 16:55:41:746',123,360,165,71,70.263565,-10.19955,27,0,830,0.04,0.04
246,'2019/05/04 16:55:41:747',123,360,165,71,70.263565,-10.19955,27,0,830,0.04,0.04
247,'2019/05/04 16:55:41:763',124,397,159,43,42.445534,-6.88306,0,0,847,0.04,0.04
248,'2019/05/04 16:55:41:764',124,397,159,43,42.445534,-6.88306,0,0,847,0.04,0.04
249,'2019/05/04 16:55:41:778',125,455,154,63,62.7672,-5.410965,20,0,863,0.04,0.04
250,'2019/05/04 16:55:41:779',125,455,154,63,62.7672,-5.410965,20,0,863,0.04,0.04
251,'2019/05/04 16:55:41:795',126,480,149,30,29.417419,-5.883484,16.5,0,881,0.04,0.04
252,'2019/05/04 16:55:41:796',126,480,149,30,29.417419,-5.883484,16.5,0,881,0.04,0.04
253,'2019/05/04 16:55:41:811',127,509,144,34,33.505646,-5.776835,4,0,897,0.04,0.04
254,'2019/05/04 16:55:41:812',127,509,144,34,33.505646,-5.776835,4,0,897,0.04,0.04
255,'2019/05/04 16:55:41:828',128,516,141,10,9.19145,-3.939193,24,0,914,0.04,0.04
256,'2019/05/04 16:55:41:829',128,516,141,10,9.19145,-3.939193,24,0,914,0.04,0.04
257,'2019/05/04 16:55:41:845',129,521,137,9,7.027819,-5.622255,1,0,930,0.04,0.04
258,'2019/05/04 16:55:41:846',129,521,137,9,7.027819,-5.622255,1,0,930,0.04,0.04
259,'2019/05/04 16:55:41:863',130,522,135,3,1.341641,-2.683281,3,0,949,0.04,0.04
260,'2019/05/04 16:55:41:864',130,522,135,3,1.341641,-2.683281,3,0,949,0.04,0.04
261,'2019/05/04 16:55:41:880',131,521,132,4,-1.264911,-3.794733,1,0,966,0.04,0.04
262,'2019/05/04 16:55:41:882',131,521,132,4,-1.264911,-3.794733,1,0,966,0.04,0.04
263,'2019/05/04 16:55:41:896',132,521,130,2,0,-2,2,0,982,0.04,0.04
264,'2019/05/04 16:55:41:897',132,521,130,2,0,-2,2,0,982,0.04,0.04
265,'2019/05/04 16:55:41:915',133,516,127,8,-6.859944,-4.115966,6,0,1001,0.04,0.04
266,'2019/05/04 16:55:41:916',133,516,127,8,-6.859944,-4.115966,6,0,1001,0.04,0.04
267,'2019/05/04 16:55:41:934',134,505,122,16,-14.565864,-6.620847,8,0,1020,0.04,0.04
268,'2019/05/04 16:55:41:935',134,505,122,16,-14.565864,-6.620847,8,0,1020,0.04,0.04
269,'2019/05/04 16:55:41:950',135,499,121,7,-6.904757,-1.150793,9,0,1036,0.04,0.04
270,'2019/05/04 16:55:41:951',135,499,121,7,-6.904757,-1.150793,9,0,1036,0.04,0.04
271,'2019/05/04 16:55:41:968',136,481,118,21,-20.714273,-3.452379,14,0,1054,0.04,0.04
272,'2019/05/04 16:55:41:969',136,481,118,21,-20.714273,-3.452379,14,0,1054,0.04,0.04
